MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://www.diablo.com/p/DCB518ASTS06G,,,,,,DCB518ASTS06G,Tools & Hardware,Abrasives,Cut-Off Discs,DCB518ASTS06G,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc (2435),Diablo®,,DCB518ASTS06G,,Abrasives & Cutting Tools>Abrasives>Cut-Off Wheels & Sanding Discs,"Freud Inc (2435) Diablo, Cut-Off Discs, Professional Series, DCB518ASTS06G",CUT-OFF DISCS,Diablo® Professional Series DCB518ASTS06G Cut-Off Discs,"Diablo® Cut-Off Discs, Professional Series, : 6 pc.","Diablo® Cut-Off Discs, DCB518ASTS06G",Engineered for heavy-duty industrial and professional use. Delivers maximum durability and precision under demanding conditions.,Engineered for Professional Series performance standards,: 6 pc,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Discs,Size,1/2 in x 18 in,in,Package Quantity,6,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40151500,1 Year Manufacturer Warranty,,1,EA,,,,,,,,,,,,Diablo_DCB518ASTS06G.jpg,,,,,,,,,Diablo_DCB518ASTS06G_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.3m.com/p/3MABR-7100075678,,,,,,3MABR-7100075678,Tools & Hardware,Abrasives,Cut-Off Discs,3MABR-7100075678,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),3M™,,3MABR-7100075678,,Abrasives & Cutting Tools>Abrasives>Cut-Off Wheels & Sanding Discs,"Jam Industrial Supply LLC (JAMIN) 3M, Cut-Off Discs, Professional Series,",CUT-OFF DISCS,3M™ Professional Series 3MABR-7100075678 Cut-Off Discs,"3M™ Cut-Off Discs, Professional Series, : 50 pc.","3M™ Cut-Off Discs, 3MABR-7100075678",Engineered for heavy-duty industrial and professional use. Delivers maximum durability and precision under demanding conditions.,Engineered for Professional Series performance standards,: 50 pc,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Discs,Grit Rating,P150,,Package Quantity,50,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40151500,1 Year Manufacturer Warranty,,1,EA,,,,,,,,,,,,3M_3MABR_7100075678.jpg,,,,,,,,,3M_3MABR_7100075678_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.3m.com/p/3MABR-7100045865,,,,,,3MABR-7100045865,Tools & Hardware,Abrasives,Cut-Off Discs,3MABR-7100045865,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),3M™,,3MABR-7100045865,,Abrasives & Cutting Tools>Abrasives>Cut-Off Wheels & Sanding Discs,"Jam Industrial Supply LLC (JAMIN) 3M, Cut-Off Discs, Professional Series,",CUT-OFF DISCS,3M™ Professional Series 3MABR-7100045865 Cut-Off Discs,"3M™ Cut-Off Discs, Professional Series, : 50 pc.","3M™ Cut-Off Discs, 3MABR-7100045865",Engineered for heavy-duty industrial and professional use. Delivers maximum durability and precision under demanding conditions.,Engineered for Professional Series performance standards,: 50 pc,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Discs,Grit Rating,P120,,Package Quantity,50,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40151500,1 Year Manufacturer Warranty,,1,EA,,,,,,,,,,,,3M_3MABR_7100045865.jpg,,,,,,,,,3M_3MABR_7100045865_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.3m.com/p/3MABR-7100048736,,,,,,3MABR-7100048736,Tools & Hardware,Abrasives,Cut-Off Discs,3MABR-7100048736,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),3M™,,3MABR-7100048736,,Abrasives & Cutting Tools>Abrasives>Cut-Off Wheels & Sanding Discs,"Jam Industrial Supply LLC (JAMIN) 3M, Cut-Off Discs, Professional Series,",CUT-OFF DISCS,3M™ Professional Series 3MABR-7100048736 Cut-Off Discs,"3M™ Cut-Off Discs, Professional Series, : 50 pc.","3M™ Cut-Off Discs, 3MABR-7100048736",Engineered for heavy-duty industrial and professional use. Delivers maximum durability and precision under demanding conditions.,Engineered for Professional Series performance standards,: 50 pc,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Discs,Grit Rating,P80,,Package Quantity,50,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40151500,1 Year Manufacturer Warranty,,1,EA,,,,,,,,,,,,3M_3MABR_7100048736.jpg,,,,,,,,,3M_3MABR_7100048736_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.3m.com/p/3MABR-7100075690,,,,,,3MABR-7100075690,Tools & Hardware,Abrasives,Cut-Off Discs,3MABR-7100075690,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),3M™,,3MABR-7100075690,,Abrasives & Cutting Tools>Abrasives>Cut-Off Wheels & Sanding Discs,"Jam Industrial Supply LLC (JAMIN) 3M, Cut-Off Discs, Professional Series,",CUT-OFF DISCS,3M™ Professional Series 3MABR-7100075690 Cut-Off Discs,"3M™ Cut-Off Discs, Professional Series, : 50 pc.","3M™ Cut-Off Discs, 3MABR-7100075690",Engineered for heavy-duty industrial and professional use. Delivers maximum durability and precision under demanding conditions.,Engineered for Professional Series performance standards,: 50 pc,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Discs,Grit Rating,P180,,Package Quantity,50,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40151500,1 Year Manufacturer Warranty,,1,EA,,,,,,,,,,,,3M_3MABR_7100075690.jpg,,,,,,,,,3M_3MABR_7100075690_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.3m.com/p/3MABR-7100075692,,,,,,3MABR-7100075692,Tools & Hardware,Abrasives,Cut-Off Discs,3MABR-7100075692,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),3M™,,3MABR-7100075692,,Abrasives & Cutting Tools>Abrasives>Cut-Off Wheels & Sanding Discs,"Jam Industrial Supply LLC (JAMIN) 3M, Cut-Off Discs, Professional Series,",CUT-OFF DISCS,3M™ Professional Series 3MABR-7100075692 Cut-Off Discs,"3M™ Cut-Off Discs, Professional Series, : 50 pc.","3M™ Cut-Off Discs, 3MABR-7100075692",Engineered for heavy-duty industrial and professional use. Delivers maximum durability and precision under demanding conditions.,Engineered for Professional Series performance standards,: 50 pc,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Discs,Grit Rating,P220,,Package Quantity,50,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40151500,1 Year Manufacturer Warranty,,1,EA,,,,,,,,,,,,3M_3MABR_7100075692.jpg,,,,,,,,,3M_3MABR_7100075692_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.3m.com/p/3MABR-7100145365,,,,,,3MABR-7100145365,Tools & Hardware,Abrasives,Cut-Off Discs,3MABR-7100145365,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC (JAMIN),3M™,,3MABR-7100145365,,Abrasives & Cutting Tools>Abrasives>Cut-Off Wheels & Sanding Discs,"Jam Industrial Supply LLC (JAMIN) 3M, Cut-Off Discs, Professional Series,",CUT-OFF DISCS,3M™ Professional Series 3MABR-7100145365 Cut-Off Discs,"3M™ Cut-Off Discs, Professional Series, : 50 pc.","3M™ Cut-Off Discs, 3MABR-7100145365",Engineered for heavy-duty industrial and professional use. Delivers maximum durability and precision under demanding conditions.,Engineered for Professional Series performance standards,: 50 pc,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Discs,Grit Rating,P320,,Package Quantity,50,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40151500,1 Year Manufacturer Warranty,,1,EA,,,,,,,,,,,,3M_3MABR_7100145365.jpg,,,,,,,,,3M_3MABR_7100145365_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.mirka.com/p/5B-332-080,,,,,,5B-332-080,Tools & Hardware,Abrasives,Cut-Off Discs,5B-332-080,5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc (MIRUS),Mirka®,,5B-332-080,,Abrasives & Cutting Tools>Abrasives>Cut-Off Wheels & Sanding Discs,"Mirka Abrasives Inc (MIRUS) Mirka, Cut-Off Discs, Professional Series,",CUT-OFF DISCS,Mirka® Professional Series 5B-332-080 Cut-Off Discs,"Mirka® Cut-Off Discs, Professional Series, : P80.","Mirka® Cut-Off Discs, 5B-332-080",Engineered for heavy-duty industrial and professional use. Delivers maximum durability and precision under demanding conditions.,Engineered for Professional Series performance standards,: P80,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Discs,Grit Rating,P80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40151500,1 Year Manufacturer Warranty,,1,EA,,,,,,,,,,,,Mirka_5B_332_080.jpg,,,,,,,,,Mirka_5B_332_080_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.mirka.com/p/5B-332-120,,,,,,5B-332-120,Tools & Hardware,Abrasives,Cut-Off Discs,5B-332-120,5B-332-120,"5B-332-120 HIOLIT 5"" P120",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc (MIRUS),Mirka®,,5B-332-120,,Abrasives & Cutting Tools>Abrasives>Cut-Off Wheels & Sanding Discs,"Mirka Abrasives Inc (MIRUS) Mirka, Cut-Off Discs, Professional Series,",CUT-OFF DISCS,Mirka® Professional Series 5B-332-120 Cut-Off Discs,"Mirka® Cut-Off Discs, Professional Series, : P120.","Mirka® Cut-Off Discs, 5B-332-120",Engineered for heavy-duty industrial and professional use. Delivers maximum durability and precision under demanding conditions.,Engineered for Professional Series performance standards,: P120,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Discs,Grit Rating,P120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40151500,1 Year Manufacturer Warranty,,1,EA,,,,,,,,,,,,Mirka_5B_332_120.jpg,,,,,,,,,Mirka_5B_332_120_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.mirka.com/p/9A-570-240,,,,,,9A-570-240,Tools & Hardware,Abrasives,Cut-Off Discs,9A-570-240,9A-570-240,9A-570-240 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc (MIRUS),Mirka®,,9A-570-240,,Abrasives & Cutting Tools>Abrasives>Cut-Off Wheels & Sanding Discs,"Mirka Abrasives Inc (MIRUS) Mirka, Cut-Off Discs, Professional Series,",CUT-OFF DISCS,Mirka® Professional Series 9A-570-240 Cut-Off Discs,"Mirka® Cut-Off Discs, Professional Series, : 9 A.","Mirka® Cut-Off Discs, 9A-570-240",Engineered for heavy-duty industrial and professional use. Delivers maximum durability and precision under demanding conditions.,Engineered for Professional Series performance standards,: 9 A,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Discs,Size,2-3/4 in x 30 in,in,Amperage Rating,9,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40151500,1 Year Manufacturer Warranty,,1,EA,,,,,,,,,,,,Mirka_9A_570_240.jpg,,,,,,,,,Mirka_9A_570_240_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
